	masa A		
t	x	vx	
0,000	3,810E-2	
0,033	4,185E-2	0,157
0,067	4,858E-2	0,241
0,100	5,791E-2	0,247
0,133	6,503E-2	0,170
0,166	6,921E-2	6,255E-2
0,200	6,919E-2	-5,131E-2
0,233	6,580E-2	-0,124
0,266	6,091E-2	-0,158
0,300	5,527E-2	-0,152
0,333	5,078E-2	-0,106
0,366	4,818E-2	-1,686E-2
0,400	4,966E-2	5,187E-2
0,433	5,164E-2	8,029E-2
0,466	5,501E-2	9,992E-2
0,499	5,830E-2	8,681E-2
0,533	6,079E-2	5,231E-2
0,566	6,178E-2	4,317E-3
0,599	6,108E-2	-2,908E-2
0,633	5,985E-2	-3,721E-2
0,666	5,860E-2	-3,507E-2
0,699	5,751E-2	-3,047E-2
0,732	5,657E-2	-2,661E-2
0,766	5,574E-2	-1,992E-2
0,799	5,525E-2	-2,230E-3
0,832	5,559E-2	1,853E-2
0,866	5,648E-2	2,280E-2
0,899	5,711E-2	2,071E-2
0,932	5,786E-2	1,719E-2
0,965	5,826E-2	1,189E-2
0,999	5,865E-2	-2,230E-3
1,032	5,811E-2	-1,867E-2
1,065	5,741E-2	-1,867E-2
1,099	5,686E-2	-7,432E-3
1,132	5,691E-2	3,020E-3
1,165	5,706E-2	6,040E-3
1,199	5,732E-2	6,736E-3
1,232	5,751E-2	
