	pingpong				
t	x	y	vx	vy	
3,096	0,182	6,868E-2	-1,278E-3	-2,300E-2
3,130	0,181	6,860E-2	-2,939E-2	1,661E-2
3,163	0,180	6,979E-2	-3,705E-2	4,855E-2
3,196	0,179	7,183E-2	-3,961E-2	6,644E-2
3,229	0,177	7,421E-2	-2,939E-2	6,389E-2
3,263	0,177	7,608E-2	-5,102E-3	3,827E-2
3,296	0,177	7,676E-2	2,041E-2	1,403E-2
3,329	0,178	7,702E-2	3,450E-2	-1,150E-2
3,363	0,179	7,600E-2	3,322E-2	-4,216E-2
3,396	0,180	7,421E-2	2,939E-2	-6,005E-2
3,429	0,181	7,200E-2	2,555E-2	-6,516E-2
3,462	0,182	6,987E-2	2,555E-3	-4,344E-2
3,496	0,181	6,911E-2	-2,044E-2	-6,389E-3
3,529	0,180	6,945E-2	-2,811E-2	2,683E-2
3,562	0,179	7,089E-2	-2,939E-2	5,622E-2
3,596	0,179	7,319E-2	-1,405E-2	7,539E-2
3,629	0,178	7,591E-2	5,111E-3	6,389E-2
3,662	0,179	7,744E-2	1,917E-2	3,322E-2
3,695	0,180	7,812E-2	2,172E-2	-6,389E-3
3,729	0,180	7,702E-2	1,661E-2	-4,344E-2
3,762	0,181	7,523E-2	8,944E-3	-5,750E-2
3,795	0,181	7,319E-2	-1,278E-3	-5,366E-2
3,829	0,181	7,166E-2	-1,405E-2	-3,578E-2
3,862	0,180	7,081E-2	-2,300E-2	-2,044E-2
3,895	0,179	7,030E-2	-2,555E-2	8,944E-3
3,929	0,178	7,140E-2	-2,172E-2	3,450E-2
3,962	0,178	7,259E-2	-5,111E-3	4,983E-2
3,995	0,178	7,472E-2	1,533E-2	5,111E-2
4,028	0,179	7,600E-2	3,194E-2	3,578E-2
4,062	0,180	7,710E-2	3,067E-2	1,533E-2
4,095	0,181	7,702E-2	2,428E-2	-1,917E-2
4,128	0,182	7,583E-2	1,661E-2	-3,961E-2
4,162	0,182	7,438E-2	-2,555E-3	-4,472E-2
4,195	0,182	7,285E-2	-1,661E-2	-4,089E-2
4,228	0,181	7,166E-2	-2,811E-2	-2,555E-2
4,261	0,180	7,115E-2	-3,322E-2	-2,555E-3
4,295	0,179	7,149E-2	-2,939E-2	1,917E-2
4,328	0,178	7,242E-2	-1,789E-2	3,833E-2
4,361	0,177	7,404E-2	5,102E-3	4,720E-2
4,395	0,178	7,557E-2	2,806E-2	4,209E-2
4,428	0,179	7,685E-2	3,833E-2	2,683E-2
4,461	0,181	7,736E-2	3,961E-2	-3,833E-3
4,494	0,182	7,659E-2	2,683E-2	-3,961E-2
4,528	0,182	7,472E-2	5,111E-3	-4,472E-2
4,561	0,182	7,361E-2	-1,533E-2	-3,322E-2
4,594	0,181	7,251E-2	-3,833E-2	-2,555E-2
4,628	0,180	7,191E-2	-5,239E-2	-1,022E-2
4,661	0,178	7,183E-2	-4,472E-2	6,389E-3
4,694	0,177	7,234E-2	-2,300E-2	2,811E-2
4,728	0,176	7,370E-2	2,555E-3	4,472E-2
4,761	0,177	7,532E-2	3,322E-2	4,089E-2
4,794	0,179	7,642E-2	5,877E-2	2,811E-2
4,827	0,181	7,719E-2	4,600E-2	1,405E-2
4,861	0,182	7,736E-2	2,428E-2	-2,172E-2
4,894	0,182	7,574E-2	-1,150E-2	-4,728E-2
4,927	0,181	7,421E-2	-4,089E-2	-3,705E-2
4,961	0,180	7,327E-2	-3,450E-2	-2,555E-2
4,994	0,179	7,251E-2	-3,450E-2	-1,917E-2
5,027	0,177	7,200E-2	-2,296E-2	-1,403E-2
5,060	0,177	7,157E-2	8,929E-3	-5,102E-3
5,094	0,178	7,166E-2	3,705E-2	2,172E-2
5,127	0,179	7,302E-2	3,450E-2	3,705E-2
5,160	0,180	7,413E-2	2,683E-2	2,811E-2
5,194	0,181	7,489E-2	1,789E-2	1,278E-2
5,227	0,182	7,498E-2	1,278E-3	6,389E-3
5,260	0,181	7,532E-2	-1,661E-2	1,278E-3
5,294	0,180	7,506E-2	-2,811E-2	-1,533E-2
5,327	0,179	7,430E-2	-3,322E-2	-2,683E-2
5,360	0,178	7,327E-2	-2,939E-2	-3,194E-2
5,393	0,178	7,217E-2	-1,022E-2	-1,661E-2
5,427	0,178	7,217E-2	5,111E-3	7,666E-3
5,460	0,178	7,268E-2	2,044E-2	1,789E-2
5,493	0,179	7,336E-2	2,939E-2	2,428E-2
5,527	0,180	7,430E-2	2,683E-2	2,683E-2
5,560	0,181	7,515E-2	1,789E-2	2,044E-2
5,593	0,181	7,566E-2	6,389E-3	1,022E-2
5,626	0,181	7,583E-2	-7,666E-3	6,389E-3
5,660	0,180	7,608E-2	-2,172E-2	-1,022E-2
