	PingPong			
t	x	vx	ax	
7,200	6,934E-30	2,243E-30	3,410E-30
7,233	7,009E-30	1,823E-30	-2,306E-29
7,267	7,056E-30	6,906E-31	-3,849E-29
7,300	7,055E-30	-7,811E-31	-4,115E-29
7,333	7,004E-30	-2,087E-30	-2,588E-29
7,367	6,916E-30	-2,566E-30	4,395E-30
7,400	6,832E-30	-1,795E-30	3,601E-29
7,433	6,796E-30	-1,157E-31	5,181E-29
7,467	6,825E-30	1,717E-30	4,287E-29
7,500	6,910E-30	2,812E-30	1,507E-29
7,533	7,012E-30	2,717E-30	-2,201E-29
7,567	7,092E-30	1,360E-30	-5,220E-29
7,600	7,103E-30	-8,384E-31	-6,300E-29
7,633	7,036E-30	-2,904E-30	-4,369E-29
7,667	6,909E-30	-3,831E-30	3,598E-30
7,700	6,780E-30	-2,713E-30	5,148E-29
7,733	6,728E-30	-2,495E-31	7,319E-29
7,767	6,764E-30	2,210E-30	5,442E-29
7,800	6,876E-30	3,501E-30	1,437E-29
7,833	6,997E-30	3,117E-30	-2,915E-29
7,867	7,084E-30	1,539E-30	-5,459E-29
7,900	7,100E-30	-5,952E-31	-6,170E-29
7,933	7,044E-30	-2,599E-30	-3,973E-29
7,967	6,926E-30	-3,376E-30	2,130E-30
8,000	6,819E-30	-2,401E-30	4,560E-29
8,033	6,766E-30	-3,022E-31	6,456E-29
8,067	6,799E-30	2,002E-30	4,982E-29
8,100	6,900E-30	3,120E-30	1,062E-29
8,133	7,007E-30	2,664E-30	-3,047E-29
8,167	7,077E-30	1,071E-30	-5,422E-29
8,200	7,078E-30	-1,024E-30	-5,819E-29
8,233	7,009E-30	-2,845E-30	-3,001E-29
8,267	6,888E-30	-3,164E-30	1,809E-29
8,300	6,798E-30	-1,561E-30	5,741E-29
8,333	6,784E-30	7,572E-31	6,223E-29
8,367	6,849E-30	2,656E-30	3,662E-29
8,400	6,961E-30	3,256E-30	-4,188E-30
8,433	7,066E-30	2,349E-30	-4,269E-29
8,467	7,118E-30	3,756E-31	-6,121E-29
8,500	7,091E-30	-1,817E-30	-5,038E-29
8,533	6,997E-30	-3,064E-30	-1,521E-29
8,567	6,887E-30	-2,827E-30	2,713E-29
8,600	6,808E-30	-1,240E-30	5,434E-29
8,633	6,804E-30	8,953E-31	5,513E-29
8,667	6,868E-30	2,491E-30	3,063E-29
8,700	6,970E-30	2,965E-30	-4,272E-30
8,733	7,066E-30	2,196E-30	-3,879E-29
8,767	7,116E-30	3,632E-31	-5,666E-29
8,800	7,090E-30	-1,687E-30	-4,833E-29
8,833	7,004E-30	-2,903E-30	-1,473E-29
8,867	6,896E-30	-2,707E-30	2,606E-29
8,900	6,823E-30	-1,124E-30	5,296E-29
8,933	6,821E-30	9,148E-31	5,185E-29
8,967	6,884E-30	2,387E-30	2,519E-29
9,000	6,981E-30	2,633E-30	-1,054E-29
9,033	7,060E-30	1,646E-30	-4,015E-29
9,067	7,090E-30	-7,577E-32	-5,308E-29
9,100	7,055E-30	-1,944E-30	-4,357E-29
9,133	6,961E-30	-3,058E-30	-8,662E-30
9,167	6,851E-30	-2,566E-30	3,509E-29
9,200	6,790E-30	-6,485E-31	5,961E-29
9,233	6,808E-30	1,507E-30	5,129E-29
9,267	6,890E-30	2,825E-30	1,669E-29
9,300	6,996E-30	2,658E-30	-2,549E-29
9,333	7,067E-30	1,078E-30	-5,137E-29
9,367	7,068E-30	-8,677E-31	-5,224E-29
9,400	7,010E-30	-2,413E-30	-2,968E-29
9,433	6,907E-30	-2,928E-30	6,437E-30
9,467	6,814E-30	-1,966E-30	4,103E-29
9,500	6,776E-30	-1,253E-31	5,661E-29
9,533	6,806E-30	1,848E-30	4,017E-29
9,567	6,899E-30	2,694E-30	7,576E-30
9,600	6,986E-30	2,237E-30	-2,353E-29
9,633	7,048E-30	1,145E-30	-3,997E-29
9,667	7,062E-30	-4,649E-31	-4,998E-29
9,700	7,017E-30	-2,205E-30	-3,947E-29
9,733	6,915E-30	-3,203E-30	-4,589E-30
9,767	6,804E-30	-2,536E-30	3,885E-29
9,800	6,746E-30	-5,393E-31	6,488E-29
9,833	6,768E-30	1,850E-30	5,511E-29
9,867	6,869E-30	3,269E-30	1,759E-29
9,900	6,986E-30	2,993E-30	-2,516E-29
9,933	7,069E-30	1,547E-30	-5,126E-29
9,967	7,089E-30	-4,664E-31	-5,721E-29
10,000	7,038E-30	-2,328E-30	-4,138E-29
10,033	6,934E-30	-3,273E-30	-2,144E-30
10,067	6,819E-30	-2,533E-30	3,916E-29
10,100	6,765E-30	-5,393E-31	6,306E-29
10,133	6,783E-30	1,693E-30	5,088E-29
10,167	6,878E-30	2,998E-30	1,590E-29
10,200	6,983E-30	2,703E-30	-2,416E-29
10,233	7,058E-30	1,358E-30	-4,805E-29
10,267	7,074E-30	-5,418E-31	-5,438E-29
10,300	7,022E-30	-2,321E-30	-3,661E-29
10,333	6,919E-30	-3,060E-30	8,851E-32
10,367	6,818E-30	-2,303E-30	3,759E-29
10,400	6,766E-30	-5,016E-31	5,770E-29
10,433	6,785E-30	1,598E-30	5,078E-29
10,467	6,872E-30	2,975E-30	1,872E-29
10,500	6,983E-30	2,864E-30	-2,023E-29
10,533	7,063E-30	1,566E-30	-4,966E-29
10,567	7,087E-30	-4,526E-31	-5,843E-29
10,600	7,033E-30	-2,432E-30	-4,033E-29
10,633	6,925E-30	-3,206E-30	-1,718E-30
10,667	6,819E-30	-2,518E-30	3,994E-29
10,700	6,757E-30	-5,457E-31	6,328E-29
10,733	6,783E-30	1,829E-30	5,292E-29
10,767	6,879E-30	3,073E-30	1,228E-29
10,800	6,988E-30	2,636E-30	-2,740E-29
10,833	7,055E-30	1,166E-30	-5,033E-29
10,867	7,065E-30	-7,265E-31	-5,301E-29
10,900	7,006E-30	-2,446E-30	-3,262E-29
10,933	6,902E-30	-2,969E-30	7,522E-30
10,967	6,809E-30	-1,929E-30	4,609E-29
11,000	6,774E-30	1,608E-31	6,003E-29
11,033	6,819E-30	2,176E-30	4,332E-29
11,067	6,919E-30	3,092E-30	6,285E-30
11,100	7,025E-30	2,596E-30	-2,954E-29
11,133	7,092E-30	1,067E-30	-5,232E-29
11,167	7,097E-30	-9,182E-31	-5,482E-29
11,200	7,031E-30	-2,660E-30	-2,943E-29
11,233	6,919E-30	-2,976E-30	1,387E-29
